,X11,X13,X14,X15,X17,X2,X20,X21,X23,X25,X26,X27,X30,X31,X33,X34,X35,X36,X38,X39,X4,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X5,X50,X51,X6,X7,X8
X11,351,0,0,0,58,0,0,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
X13,0,324,0,0,0,2,0,0,9,1,0,0,0,1,0,23,0,50,0,0,0,0,1,0,19,7,1,3,0,12,0,0,0,0,0,0,0
X14,0,0,636,0,1,0,0,0,0,0,0,24,0,0,0,0,3,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0
X15,0,0,0,304,0,0,0,0,0,0,6,0,0,0,0,0,0,1,2,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
X17,77,0,1,0,249,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
X2,0,0,1,0,1,385,0,0,15,0,0,1,0,6,0,14,12,0,0,0,0,0,103,0,0,2,3,3,0,1,0,0,0,5,34,1,4
X20,0,0,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X21,12,0,0,0,0,0,0,459,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
X23,0,6,0,0,0,16,0,0,515,0,0,0,0,10,1,21,0,15,0,0,0,0,11,0,4,19,7,1,0,0,0,0,0,12,41,0,1
X25,1,0,0,0,0,0,0,0,0,364,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0
X26,0,0,0,4,0,0,0,0,0,0,335,0,0,0,0,0,0,6,14,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
X27,1,0,34,0,0,3,0,0,0,0,0,568,4,0,0,0,6,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,3,3,0
X30,0,0,1,0,1,0,0,24,0,0,0,1,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,2,0
X31,0,3,0,0,0,6,0,0,14,0,0,0,0,290,0,9,0,0,0,0,0,0,16,1,9,82,4,0,0,4,0,0,0,77,6,0,20
X33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,1,0,0,2,0,0,0,0,0,0,0,7,0,0,0,16,0,0,0,0
X34,0,10,0,0,0,11,0,0,10,0,0,1,0,16,0,191,1,0,0,0,0,0,67,0,39,22,3,3,0,3,0,1,0,6,0,0,0
X35,0,0,1,0,1,20,0,0,1,0,0,4,0,2,0,0,412,0,0,0,0,0,3,0,0,0,5,2,0,0,0,0,0,0,35,2,15
X36,0,24,0,2,0,0,0,0,5,0,4,0,0,0,0,0,0,461,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
X38,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,502,0,3,1,0,0,0,0,0,0,31,0,2,0,0,0,0,0,0
X39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,607,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4,0
X4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,193,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
X40,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,3,255,0,0,0,0,0,0,40,0,1,0,0,0,0,0,0
X41,0,9,65,0,2,99,0,0,17,0,0,9,0,35,0,127,8,0,0,0,0,0,398,0,13,22,10,3,0,0,0,0,0,16,3,0,4
X42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,1,0,0,0,0,0,0,0,0,0,0,0,0
X43,0,16,0,0,0,0,0,0,1,0,0,1,0,2,0,37,0,0,0,0,0,0,3,2,508,115,1,4,0,38,0,0,0,4,0,0,5
X44,0,7,0,0,0,4,0,0,11,0,0,0,0,104,0,29,0,0,0,0,0,0,22,0,67,385,3,2,0,16,0,0,0,51,3,0,3
X45,0,1,0,0,0,4,0,0,5,0,0,3,0,5,0,6,17,0,0,0,0,0,3,0,1,4,230,0,0,3,0,0,0,5,7,0,151
X46,1,1,2,0,1,4,0,0,0,0,0,0,1,0,0,4,8,0,0,0,0,0,3,0,2,2,0,357,0,3,0,0,0,0,1,0,2
X47,1,0,1,0,0,0,0,7,0,3,0,0,18,0,4,0,1,0,51,0,4,15,0,0,0,0,0,0,418,6,0,0,2,0,0,0,0
X48,0,13,0,0,0,0,0,0,1,14,0,0,1,0,1,13,0,0,0,0,0,0,2,0,61,17,2,4,11,471,0,0,0,3,1,0,3
X49,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0
X5,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,466,0,0,0,57,0
X50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0
X51,0,3,0,0,0,12,0,0,6,0,0,0,0,155,0,15,1,0,0,0,0,0,22,1,19,175,2,2,0,4,0,0,0,87,3,0,11
X6,0,0,1,0,1,54,0,0,47,0,0,4,0,7,0,2,120,0,0,0,0,0,8,0,0,2,13,4,0,0,0,0,0,1,479,0,17
X7,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,525,0
X8,0,0,0,0,0,5,0,0,0,0,0,0,0,27,0,0,19,0,0,0,0,0,3,0,2,4,78,0,0,1,0,0,0,9,4,0,262
